id,item_id,dept_id,cat_id,store_id,state_id,d,quantity_sold,date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,cost_price,selling_price,snap_flag,is_weekend,lag_1,lag_7,lag_28,rolling_mean_7,rolling_mean_28,rolling_std_28,gross_margin,sales_momentum,stock_level,reorder_level,inventory_gap,inventory_turnover_proxy,future_7_day_demand,future_daily_demand,days_to_stockout_target,stockout_risk,product_movement_class
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1577,14.0,2015-05-24,11517,Sunday,2,5,2015,Unknown,Unknown,Unknown,Unknown,0,0,0,22.82,31.26,0,1,32.0,18.0,22.0,12.428571428571429,18.25,7.914473380389178,8.440000000000001,0.6809802985355009,400.0,103.0,297.0,0.04562488593778516,89.0,12.714285714285714,31.21516164994426,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1578,14.0,2015-05-25,11517,Monday,3,5,2015,MemorialDay,National,Unknown,Unknown,0,0,0,22.82,31.26,0,0,14.0,4.0,12.0,11.857142857142858,17.964285714285715,7.918483500796157,8.440000000000001,0.6600030217005812,394.0,99.0,295.0,0.04559451807047626,84.0,12.0,32.561983471074385,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1579,6.0,2015-05-26,11517,Tuesday,4,5,2015,Unknown,Unknown,Unknown,Unknown,0,0,0,22.82,31.26,0,0,14.0,3.0,15.0,13.285714285714286,18.035714285714285,7.871571648129757,8.440000000000001,0.736592822576174,395.0,109.0,286.0,0.04565992057162965,91.0,13.0,30.15267175572519,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1580,14.0,2015-05-27,11517,Wednesday,5,5,2015,Unknown,Unknown,Unknown,Unknown,0,0,0,22.82,31.26,0,0,6.0,10.0,16.0,13.714285714285714,17.714285714285715,8.177915802837964,8.440000000000001,0.7741498463796397,389.0,113.0,276.0,0.045537892484301366,99.0,14.142857142857142,27.31193580742227,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1581,13.0,2015-05-28,11517,Thursday,6,5,2015,Unknown,Unknown,Unknown,Unknown,0,0,0,22.82,31.26,0,0,14.0,12.0,13.0,14.285714285714286,17.642857142857142,8.202141932149937,8.440000000000001,0.8096707069234942,387.0,117.0,270.0,0.04558866034676175,98.0,14.0,27.4468085106383,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1582,12.0,2015-05-29,11517,Friday,7,5,2015,Unknown,Unknown,Unknown,Unknown,0,0,0,22.82,31.26,0,0,13.0,8.0,30.0,14.428571428571429,17.642857142857142,8.202141932149937,8.440000000000001,0.8177674139927291,387.0,118.0,269.0,0.04558866034676175,107.0,15.285714285714286,25.153203342618383,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1583,10.0,2015-05-30,11518,Saturday,1,5,2015,Unknown,Unknown,Unknown,Unknown,0,0,0,22.82,31.26,0,1,12.0,32.0,17.0,15.0,17.0,7.897491397296384,8.440000000000001,0.8823010411152284,373.0,121.0,252.0,0.045576285318269925,118.0,16.857142857142858,21.996630160067394,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1584,20.0,2015-05-31,11518,Sunday,2,5,2015,Unknown,Unknown,Unknown,Unknown,0,0,0,22.82,31.26,0,1,10.0,14.0,24.0,11.857142857142858,16.75,8.007519614110874,8.440000000000001,0.7078468662851685,368.0,100.0,268.0,0.04551618066255255,121.0,17.285714285714285,21.166803615447822,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1585,9.0,2015-06-01,11518,Monday,3,6,2015,Unknown,Unknown,Unknown,Unknown,1,1,0,22.82,31.26,0,0,20.0,14.0,20.0,12.714285714285714,16.607142857142858,7.908454387151184,8.440000000000001,0.7655453004980344,365.0,105.0,260.0,0.045498896871906815,129.0,18.428571428571427,19.69930609097918,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1586,13.0,2015-06-02,11518,Tuesday,4,6,2015,Unknown,Unknown,Unknown,Unknown,1,0,1,22.82,31.26,1,0,9.0,6.0,27.0,12.0,16.214285714285715,8.00628060340937,8.440000000000001,0.7400424643414062,357.0,101.0,256.0,0.04541804004550608,131.0,18.714285714285715,18.974943052391797,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1587,22.0,2015-06-03,11518,Wednesday,5,6,2015,Unknown,Unknown,Unknown,Unknown,1,1,1,22.82,31.26,1,0,13.0,14.0,22.0,13.0,15.714285714285714,7.740500236764025,8.440000000000001,0.8272200859945277,346.0,107.0,239.0,0.045416879472272374,115.0,16.428571428571427,20.933448573898012,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1588,12.0,2015-06-04,11518,Thursday,6,6,2015,NBAFinalsStart,Sporting,Unknown,Unknown,1,0,0,22.82,31.26,0,0,22.0,13.0,12.0,14.142857142857142,15.714285714285714,7.740500236764025,8.440000000000001,0.8999427309171235,346.0,115.0,231.0,0.045416879472272374,118.0,16.857142857142858,20.40438079191238,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1589,21.0,2015-06-05,11518,Friday,7,6,2015,Unknown,Unknown,Unknown,Unknown,1,1,1,22.82,31.26,1,0,12.0,12.0,23.0,14.0,15.714285714285714,7.740500236764025,8.440000000000001,0.890852400301799,346.0,114.0,232.0,0.045416879472272374,118.0,16.857142857142858,20.40438079191238,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1590,21.0,2015-06-06,11519,Saturday,1,6,2015,Unknown,Unknown,Unknown,Unknown,1,1,1,22.82,31.26,1,1,21.0,10.0,23.0,15.285714285714286,15.642857142857142,7.679767963866877,8.440000000000001,0.9771064863433389,344.0,123.0,221.0,0.04547328973711455,114.0,16.285714285714285,20.99389712292938,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1591,23.0,2015-06-07,11519,Sunday,2,6,2015,Unknown,Unknown,Unknown,Unknown,1,1,0,22.82,31.26,0,1,21.0,20.0,24.0,16.857142857142858,15.571428571428571,7.617857049836656,8.440000000000001,1.082499289036484,343.0,134.0,209.0,0.045397618582536416,101.0,14.428571428571429,23.6086529006883,0,fast_moving
FOODS_1_004_WI_1_validation,FOODS_1_004,FOODS_1,FOODS,WI_1,WI,d_1592,17.0,2015-06-08,11519,Monday,3,6,2015,Unknown,Unknown,Unknown,Unknown,1,0,1,22.82,31.26,1,0,23.0,9.0,14.0,17.285714285714285,15.535714285714286,7.579124071627387,8.440000000000001,1.112572064326894,342.0,137.0,205.0,0.04542593233854371,97.0,13.857142857142858,24.503582395087,0,fast_moving
